task_id,surface_type,parent_case_id,parent_family,word_count,paragraph_count,ends_minimal_question,prompt_sha256,strict_variant_lint
536,MUTATION,015,Контур G-11,137,6,True,4a8e053dc995e0b7dae0ee45fa65d53d6dc6a8b9bcbd5abba05cbb69ad80f562,PASS
553,MUTATION,002,Очередь Q-9,134,6,True,46b0df677d1699d63c73b4291e195f13267e7baefbece51fa6dc8fd1bdab124a,PASS
566,MUTATION,013,Ветка L-2,148,6,True,d70e4ae07fcf49f4fbe09bdacb7b7f9a979de2cd66f97fac6221d440c677d9ef,PASS
587,MUTATION,009,Контур R-2,130,5,True,6541225cd9b80b478c7053d6546fbe988fb8758dbd602f7194030688a4ed5711,PASS
608,CANONICAL,004,Южная подстанция,303,13,True,74ff385d445b80eac1a37b5428fb4ffccdb7fe6750728a24096b329df4adb6f1,NOT_APPLICABLE_CANONICAL
637,MUTATION,001,Северная ветка,134,6,True,dde065adda213762410544e7679b0065c67c119eedfc69ef82cf5fc168085cc3,PASS
656,MUTATION,016,Узел N-5,138,6,True,bccd071543b553dec420fe9a9a149d69cfa0cc4afa72b09574a19226e4c176de,PASS
675,MUTATION,009,Контур R-2,138,5,True,858a0f082f995efe1c58e11440336567e56906e15cd2f6e40d87905a929ec709,PASS
693,MUTATION,003,Секция M-4,126,5,True,82c050302353321a393c168ef79abef8fa03af33ec5f47f35cf3c76a530eab36,PASS
712,MUTATION,008,Секция J-5,123,6,True,8ac71962f3be151b46e333487f2818c7da0813af530b69be3a01b39741fab335,PASS
722,CANONICAL,007,Окно V-12,309,13,True,c379fae33dca3129309b18ab9ea54d23c48cea13fea98493290ede8b0cac4eb9,NOT_APPLICABLE_CANONICAL
742,MUTATION,006,Узел T-6,133,5,True,f5eb527e4d36f73804d2e4cc7e0260ffe966c1f75cea21811b6a459656e90557,PASS
768,MUTATION,011,Сводка K-3,137,6,True,d0495002205ae6a79cf1f9fd9850e1413ceba5b3a24375b1213a3480460735fd,PASS
796,MUTATION,006,Узел T-6,132,5,True,1f9802fc78f3f894ed132bab540db3dedd240c2e0b833ba2da6e2f4fd39d44ca,PASS
823,MUTATION,011,Сводка K-3,121,5,True,bb9402be91214c50cd0bc6ca3087ea7f6f203eba633876bcb25892c772281e66,PASS
840,MUTATION,018,Сектор R-10,142,6,True,eade3188da8e611d556f906752c335be2a2fa14309d1ce64f2791b97675ad03b,PASS
868,MUTATION,003,Секция M-4,123,5,True,dc7ef5c19957539d0826228c1789f05e240dd085301c377e8db156699ee529cc,PASS
883,MUTATION,010,Канал E-4,123,6,True,258fe3c292df7ef954b5af9599bcb29ae949b3c2243b56b1d4fcffe8727f8525,PASS
898,CANONICAL,005,Пакет L-7,318,14,True,d55c143671f5080ac2db58c1318c8fc6fc43e62d9a11cc63649d3734a83a884b,NOT_APPLICABLE_CANONICAL
913,MUTATION,012,Шлюз P-8,134,6,True,0480602422e2000dc6a05e1d03f9d88d8744e7e7e83ee9eb5f36dcc2c6fe7059,PASS
943,MUTATION,004,Южная подстанция,156,6,True,7617eb136c652187adf78d12c257c9cbb2bb2e004b9b22c5e561dbbe62a4285b,PASS
964,MUTATION,013,Ветка L-2,138,6,True,3b58ef63e7eb73d449e7978efa98f30a346f7bedd48b2b444f3439b1e299184c,PASS
981,MUTATION,015,Контур G-11,136,6,True,43be236a7098aa41ac1e9f801758ad72e7be947299afeb98c138a6943928849e,PASS
